station,feature,rmse,changepoint_prior_scale,changepoint_range,seasonality_mode,mean_value
강릉연안1_연안,화학적산소요구량[mg/L],0.683160741,0.3,0.8,additive,0.941760592
강릉연안1_연안,염분[psu],0.836774371,0.3,0.9,multiplicative,33.56603613
강릉연안1_연안,클로로필-a[μg/L],2.453069847,0.7,0.9,additive,0.442235659
강릉연안1_연안,총인[μg/L],0.470523737,0.7,0.8,multiplicative,17.27179945
강릉연안1_연안,수온[℃],0.507778961,0.7,0.9,additive,16.97699448
강릉연안1_연안,총질소[μg/L],0.942113699,0.5,0.9,additive,130.2424276
강릉연안1_연안,용존산소[mg/L],0.664903363,0.7,0.8,multiplicative,8.761271033
강릉연안2_연안,투명도[m],1.040318693,0.7,0.9,multiplicative,9.846724859
강릉연안2_연안,화학적산소요구량[mg/L],0.799087218,0.7,0.8,additive,0.950113693
강릉연안2_연안,염분[psu],0.935202654,0.3,0.9,multiplicative,33.75485544
강릉연안2_연안,클로로필-a[μg/L],2.777890413,0.5,0.8,multiplicative,0.505170967
강릉연안2_연안,총인[μg/L],0.514975309,0.3,0.8,multiplicative,15.62845927
강릉연안2_연안,수온[℃],0.542505109,0.7,0.9,additive,16.88996179
강릉연안2_연안,총질소[μg/L],0.867401144,0.7,0.8,additive,128.6189243
강릉연안2_연안,용존산소[mg/L],0.565396972,0.3,0.8,multiplicative,8.785593019
강릉연안3_연안,투명도[m],1.260752561,0.3,0.9,additive,10.89145496
강릉연안3_연안,화학적산소요구량[mg/L],0.510911734,0.7,0.9,additive,0.964574664
강릉연안3_연안,염분[psu],1.360453421,0.7,0.9,multiplicative,33.77460861
강릉연안3_연안,클로로필-a[μg/L],2.853852647,0.7,0.8,additive,0.391741965
강릉연안3_연안,총인[μg/L],0.440773279,0.3,0.8,multiplicative,16.32068516
강릉연안3_연안,수온[℃],0.49574772,0.7,0.9,additive,17.25351628
강릉연안3_연안,총질소[μg/L],0.69467763,0.7,0.9,multiplicative,136.0741293
강릉연안3_연안,용존산소[mg/L],0.518112592,0.7,0.8,multiplicative,8.773399969
강릉연안4_연안,투명도[m],1.276090879,0.7,0.9,additive,10.4141262
강릉연안4_연안,화학적산소요구량[mg/L],0.896084449,0.7,0.9,additive,1.088723507
강릉연안4_연안,염분[psu],1.957398756,0.7,0.9,additive,33.690654
강릉연안4_연안,클로로필-a[μg/L],3.288979708,0.5,0.8,multiplicative,0.701270834
강릉연안4_연안,총인[μg/L],0.259102391,0.7,0.8,multiplicative,15.6242442
강릉연안4_연안,수온[℃],0.405504074,0.7,0.9,additive,17.71514297
강릉연안4_연안,총질소[μg/L],0.912662977,0.7,0.9,multiplicative,150.6779517
강릉연안4_연안,용존산소[mg/L],0.517461488,0.7,0.8,multiplicative,8.760262441
강릉연안5_연안,투명도[m],0.877941983,0.5,0.9,multiplicative,11.07028905
강릉연안5_연안,화학적산소요구량[mg/L],0.37390839,0.5,0.8,multiplicative,1.187573336
강릉연안5_연안,염분[psu],2.991738108,0.3,0.9,multiplicative,33.68652934
강릉연안5_연안,클로로필-a[μg/L],2.797395743,0.5,0.8,additive,0.334321781
강릉연안5_연안,총인[μg/L],0.447771032,0.3,0.8,multiplicative,16.01582922
강릉연안5_연안,수온[℃],0.485982318,0.7,0.9,additive,16.29114628
강릉연안5_연안,총질소[μg/L],0.736768549,0.3,0.9,multiplicative,165.5906136
강릉연안5_연안,용존산소[mg/L],0.367058743,0.7,0.8,multiplicative,8.720752899
거제도남안1_연안,투명도[m],0.212415903,0.7,0.9,additive,5.482317785
거제도남안1_연안,화학적산소요구량[mg/L],0.567475626,0.7,0.8,multiplicative,1.511615331
거제도남안1_연안,염분[psu],2.152234973,0.7,0.9,additive,33.27670427
거제도남안1_연안,클로로필-a[μg/L],0.778070487,0.3,0.9,multiplicative,5.317501612
거제도남안1_연안,총인[μg/L],0.405737388,0.3,0.8,multiplicative,22.10029723
거제도남안1_연안,수온[℃],0.911015728,0.7,0.9,multiplicative,17.10559956
거제도남안1_연안,총질소[μg/L],0.417893622,0.5,0.8,multiplicative,211.0613293
거제도남안1_연안,용존산소[mg/L],0.35649353,0.3,0.8,additive,8.611174354
거제도남안2_연안,투명도[m],0.705527966,0.3,0.9,multiplicative,4.102799023
거제도남안2_연안,화학적산소요구량[mg/L],0.73460945,0.3,0.8,multiplicative,1.683112544
거제도남안2_연안,염분[psu],0.931103611,0.3,0.8,multiplicative,33.22436916
거제도남안2_연안,클로로필-a[μg/L],0.954414379,0.3,0.8,additive,2.023277073
거제도남안2_연안,총인[μg/L],0.398440886,0.7,0.9,multiplicative,25.00174034
거제도남안2_연안,수온[℃],0.804865391,0.7,0.9,multiplicative,16.75910831
거제도남안2_연안,총질소[μg/L],0.711317217,0.7,0.9,multiplicative,189.0530018
거제도남안2_연안,용존산소[mg/L],0.567696533,0.7,0.9,multiplicative,8.618557196
거제도남안3_연안,투명도[m],0.572211053,0.3,0.9,multiplicative,4.5342125
거제도남안3_연안,화학적산소요구량[mg/L],0.336696909,0.3,0.9,multiplicative,0.918077379
거제도남안3_연안,염분[psu],0.668981529,0.5,0.8,multiplicative,33.79884031
거제도남안3_연안,클로로필-a[μg/L],1.698335093,0.5,0.8,multiplicative,1.998895315
거제도남안3_연안,총인[μg/L],0.605842626,0.7,0.8,additive,19.96933769
거제도남안3_연안,수온[℃],0.6370123,0.7,0.8,multiplicative,16.57600428
거제도남안3_연안,총질소[μg/L],0.378902132,0.7,0.9,multiplicative,249.0427268
거제도남안3_연안,용존산소[mg/L],0.55647591,0.7,0.9,multiplicative,8.226188008
거제도남안4_연안,투명도[m],0.741958839,0.3,0.9,multiplicative,5.587629141
거제도남안4_연안,화학적산소요구량[mg/L],0.571595027,0.7,0.9,multiplicative,1.301817956
거제도남안4_연안,염분[psu],0.607977901,0.5,0.8,multiplicative,33.87855874
거제도남안4_연안,클로로필-a[μg/L],1.069328514,0.3,0.8,additive,0.897534344
거제도남안4_연안,총인[μg/L],0.25725028,0.3,0.8,multiplicative,18.63999155
거제도남안4_연안,수온[℃],0.624350864,0.7,0.8,multiplicative,16.63872837
거제도남안4_연안,총질소[μg/L],0.711749957,0.7,0.9,multiplicative,153.7171229
거제도남안4_연안,용존산소[mg/L],0.618574195,0.3,0.9,additive,8.332672654
거제도동안1_연안,투명도[m],0.336256371,0.7,0.9,additive,5.249073021
거제도동안1_연안,화학적산소요구량[mg/L],0.634384361,0.5,0.8,additive,1.193238087
거제도동안1_연안,염분[psu],1.130480733,0.7,0.9,multiplicative,32.98278987
거제도동안1_연안,클로로필-a[μg/L],0.507584489,0.3,0.9,multiplicative,2.103489896
거제도동안1_연안,총인[μg/L],0.431086521,0.7,0.8,multiplicative,22.7681773
거제도동안1_연안,수온[℃],0.723433823,0.7,0.9,multiplicative,16.61309202
거제도동안1_연안,총질소[μg/L],0.67955855,0.3,0.8,multiplicative,184.1975396
거제도동안1_연안,용존산소[mg/L],1.007202975,0.5,0.8,additive,8.614439622
거제도동안2_연안,투명도[m],0.427736039,0.5,0.9,multiplicative,4.516309391
거제도동안2_연안,화학적산소요구량[mg/L],0.378536183,0.3,0.8,multiplicative,1.084346331
거제도동안2_연안,염분[psu],0.578639489,0.7,0.8,multiplicative,33.94447981
거제도동안2_연안,클로로필-a[μg/L],1.006885448,0.7,0.9,multiplicative,1.372967942
거제도동안2_연안,총인[μg/L],0.405690511,0.7,0.9,additive,15.76889015
거제도동안2_연안,수온[℃],0.804023373,0.3,0.8,additive,19.17746819
거제도동안2_연안,총질소[μg/L],0.493159991,0.5,0.9,multiplicative,193.7064164
거제도동안2_연안,용존산소[mg/L],0.672827276,0.3,0.9,multiplicative,8.99294393
거제도동안3_연안,투명도[m],0.426361843,0.7,0.9,multiplicative,4.479489032
거제도동안3_연안,화학적산소요구량[mg/L],1.649440562,0.5,0.8,multiplicative,0.999744356
거제도동안3_연안,염분[psu],0.532577173,0.5,0.8,multiplicative,33.59939738
